diagnosisId:ID,icdCode,icdVersion,icdTitle,category,:LABEL
d_3310_9,3310,9,Alzheimer's disease,Unknown,Diagnosis
d_29411_9,29411,9,Dementia in conditions classified elsewhere with behavioral disturbance,Unknown,Diagnosis
d_71590_9,71590,9,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified",Unknown,Diagnosis
d_79902_9,79902,9,Hypoxemia,Unknown,Diagnosis
d_2639_9,2639,9,Unspecified protein-calorie malnutrition,Unknown,Diagnosis
d_43820_9,43820,9,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side",Unknown,Diagnosis
d_2760_9,2760,9,Hyperosmolality and/or hypernatremia,Unknown,Diagnosis
d_486_9,486,9,"Pneumonia, organism unspecified",Unknown,Diagnosis
d_4439_9,4439,9,"Peripheral vascular disease, unspecified",Unknown,Diagnosis
d_311_9,311,9,"Depressive disorder, not elsewhere classified",Unknown,Diagnosis
d_78321_9,78321,9,Loss of weight,Unknown,Diagnosis
d_2810_9,2810,9,Pernicious anemia,Unknown,Diagnosis
d_5990_9,5990,9,"Urinary tract infection, site not specified",Unknown,Diagnosis
d_2762_9,2762,9,Acidosis,Unknown,Diagnosis
d_V643_9,V643,9,Procedure not carried out for other reasons,Unknown,Diagnosis
d_4254_9,4254,9,Other primary cardiomyopathies,Unknown,Diagnosis
d_5859_9,5859,9,"Chronic kidney disease, unspecified",Unknown,Diagnosis
d_3569_9,3569,9,Unspecified hereditary and idiopathic peripheral neuropathy,Unknown,Diagnosis
d_E8790_9,E8790,9,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",Unknown,Diagnosis
d_40390_9,40390,9,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",Unknown,Diagnosis
d_41402_9,41402,9,Coronary atherosclerosis of autologous vein bypass graft,Unknown,Diagnosis
d_V5861_9,V5861,9,Long-term (current) use of anticoagulants,Unknown,Diagnosis
d_99702_9,99702,9,Iatrogenic cerebrovascular infarction or hemorrhage,Unknown,Diagnosis
d_V4501_9,V4501,9,Cardiac pacemaker in situ,Unknown,Diagnosis
d_E860_10,E860,10,Dehydration,Unknown,Diagnosis
d_J9811_10,J9811,10,Atelectasis,Unknown,Diagnosis
d_N179_10,N179,10,"Acute kidney failure, unspecified",Unknown,Diagnosis
d_L930_10,L930,10,Discoid lupus erythematosus,Unknown,Diagnosis
d_R002_10,R002,10,Palpitations,Unknown,Diagnosis
d_Z8781_10,Z8781,10,Personal history of (healed) traumatic fracture,Unknown,Diagnosis
d_I9589_10,I9589,10,Other hypotension,Unknown,Diagnosis
d_R000_10,R000,10,"Tachycardia, unspecified",Unknown,Diagnosis
d_E871_10,E871,10,Hypo-osmolality and hyponatremia,Unknown,Diagnosis
d_Z87891_10,Z87891,10,Personal history of nicotine dependence,Unknown,Diagnosis
d_I308_10,I308,10,Other forms of acute pericarditis,Unknown,Diagnosis
d_J90_10,J90,10,"Pleural effusion, not elsewhere classified",Unknown,Diagnosis
d_Z8639_10,Z8639,10,"Personal history of other endocrine, nutritional and metabolic disease",Unknown,Diagnosis
d_Z8249_10,Z8249,10,Family history of ischemic heart disease and other diseases of the circulatory system,Unknown,Diagnosis
d_E780_10,E780,10,Pure hypercholesterolemia,Unknown,Diagnosis
d_I25110_10,I25110,10,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,Unknown,Diagnosis
d_Z6838_10,Z6838,10,"Body mass index (BMI) 38.0-38.9, adult",Unknown,Diagnosis
d_K219_10,K219,10,Gastro-esophageal reflux disease without esophagitis,Unknown,Diagnosis
d_I2582_10,I2582,10,Chronic total occlusion of coronary artery,Unknown,Diagnosis
d_I82412_10,I82412,10,Acute embolism and thrombosis of left femoral vein,Unknown,Diagnosis
d_Z9181_10,Z9181,10,History of falling,Unknown,Diagnosis
d_I82432_10,I82432,10,Acute embolism and thrombosis of left popliteal vein,Unknown,Diagnosis
d_I272_10,I272,10,Other secondary pulmonary hypertension,Unknown,Diagnosis
d_Z951_10,Z951,10,Presence of aortocoronary bypass graft,Unknown,Diagnosis
d_R141_10,R141,10,Gas pain,Unknown,Diagnosis
d_Z7901_10,Z7901,10,Long term (current) use of anticoagulants,Unknown,Diagnosis
d_I5022_10,I5022,10,Chronic systolic (congestive) heart failure,Unknown,Diagnosis
d_I472_10,I472,10,Ventricular tachycardia,Unknown,Diagnosis
d_I2699_10,I2699,10,Other pulmonary embolism without acute cor pulmonale,Unknown,Diagnosis
d_C9000_10,C9000,10,Multiple myeloma not having achieved remission,Unknown,Diagnosis
d_D472_10,D472,10,Monoclonal gammopathy,Unknown,Diagnosis
d_Z7982_10,Z7982,10,Long term (current) use of aspirin,Unknown,Diagnosis
d_45620_9,45620,9,"Esophageal varices in diseases classified elsewhere, with bleeding",Unknown,Diagnosis
d_5845_9,5845,9,Acute kidney failure with lesion of tubular necrosis,Unknown,Diagnosis
d_5712_9,5712,9,Alcoholic cirrhosis of liver,Unknown,Diagnosis
d_30301_9,30301,9,"Acute alcoholic intoxication in alcoholism, continuous",Unknown,Diagnosis
d_5711_9,5711,9,Acute alcoholic hepatitis,Unknown,Diagnosis
d_41071_9,41071,9,"Subendocardial infarction, initial episode of care",Unknown,Diagnosis
d_5722_9,5722,9,Hepatic encephalopathy,Unknown,Diagnosis
d_2866_9,2866,9,Defibrination syndrome,Unknown,Diagnosis
d_45989_9,45989,9,Other specified disorders of circulatory system,Unknown,Diagnosis
d_78959_9,78959,9,Other ascites,Unknown,Diagnosis
d_41400_9,41400,9,"Coronary atherosclerosis of unspecified type of vessel, native or graft",Unknown,Diagnosis
d_27651_9,27651,9,Dehydration,Unknown,Diagnosis
d_7802_9,7802,9,Syncope and collapse,Unknown,Diagnosis
d_V4582_9,V4582,9,Percutaneous transluminal coronary angioplasty status,Unknown,Diagnosis
d_0088_9,0088,9,"Intestinal infection due to other organism, not elsewhere classified",Unknown,Diagnosis
d_25012_9,25012,9,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",Unknown,Diagnosis
d_V1005_9,V1005,9,Personal history of malignant neoplasm of large intestine,Unknown,Diagnosis
d_78609_9,78609,9,Other respiratory abnormalities,Unknown,Diagnosis
d_7851_9,7851,9,Palpitations,Unknown,Diagnosis
d_E8499_9,E8499,9,Accidents occurring in unspecified place,Unknown,Diagnosis
d_8020_9,8020,9,Closed fracture of nasal bones,Unknown,Diagnosis
d_78039_9,78039,9,Other convulsions,Unknown,Diagnosis
d_E9600_9,E9600,9,Unarmed fight or brawl,Unknown,Diagnosis
d_F17200_10,F17200,10,"Nicotine dependence, unspecified, uncomplicated",Unknown,Diagnosis
d_Z955_10,Z955,10,Presence of coronary angioplasty implant and graft,Unknown,Diagnosis
d_F419_10,F419,10,"Anxiety disorder, unspecified",Unknown,Diagnosis
d_Z6832_10,Z6832,10,"Body mass index (BMI) 32.0-32.9, adult",Unknown,Diagnosis
d_71535_9,71535,9,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",Unknown,Diagnosis
d_44102_9,44102,9,"Dissection of aorta, abdominal",Unknown,Diagnosis
d_5641_9,5641,9,Irritable bowel syndrome,Unknown,Diagnosis
d_60000_9,60000,9,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),Unknown,Diagnosis
d_V1301_9,V1301,9,Personal history of urinary calculi,Unknown,Diagnosis
d_4779_9,4779,9,"Allergic rhinitis, cause unspecified",Unknown,Diagnosis
d_4239_9,4239,9,Unspecified disease of pericardium,Unknown,Diagnosis
d_4111_9,4111,9,Intermediate coronary syndrome,Unknown,Diagnosis
d_7291_9,7291,9,"Myalgia and myositis, unspecified",Unknown,Diagnosis
d_6185_9,6185,9,Prolapse of vaginal vault after hysterectomy,Unknown,Diagnosis
d_56400_9,56400,9,"Constipation, unspecified",Unknown,Diagnosis
d_E9352_9,E9352,9,Other opiates and related narcotics causing adverse effects in therapeutic use,Unknown,Diagnosis
d_6186_9,6186,9,"Vaginal enterocele, congenital or acquired",Unknown,Diagnosis
d_31401_9,31401,9,Attention deficit disorder with hyperactivity,Unknown,Diagnosis
d_78052_9,78052,9,"Insomnia, unspecified",Unknown,Diagnosis
d_78829_9,78829,9,Other specified retention of urine,Unknown,Diagnosis
d_9950_9,9950,9,Other anaphylactic reaction,Unknown,Diagnosis
d_V1041_9,V1041,9,Personal history of malignant neoplasm of cervix uteri,Unknown,Diagnosis
d_3331_9,3331,9,Essential and other specified forms of tremor,Unknown,Diagnosis
d_30000_9,30000,9,"Anxiety state, unspecified",Unknown,Diagnosis
d_4571_9,4571,9,Other lymphedema,Unknown,Diagnosis
d_44489_9,44489,9,Embolism and thrombosis of other specified artery,Unknown,Diagnosis
d_9982_9,9982,9,"Accidental puncture or laceration during a procedure, not elsewhere classified",Unknown,Diagnosis
d_E8700_9,E8700,9,"Accidental cut, puncture, perforation or hemorrhage during surgical operation",Unknown,Diagnosis
d_V1009_9,V1009,9,Personal history of malignant neoplasm of other gastrointestinal tract,Unknown,Diagnosis
d_1962_9,1962,9,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,Unknown,Diagnosis
d_V1042_9,V1042,9,Personal history of malignant neoplasm of other parts of uterus,Unknown,Diagnosis
d_53240_9,53240,9,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",Unknown,Diagnosis
d_53010_9,53010,9,"Esophagitis, unspecified",Unknown,Diagnosis
d_2769_9,2769,9,Electrolyte and fluid disorders not elsewhere classified,Unknown,Diagnosis
d_7904_9,7904,9,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],Unknown,Diagnosis
d_2764_9,2764,9,Mixed acid-base balance disorder,Unknown,Diagnosis
d_5533_9,5533,9,Diaphragmatic hernia without mention of obstruction or gangrene,Unknown,Diagnosis
d_E9353_9,E9353,9,Salicylates causing adverse effects in therapeutic use,Unknown,Diagnosis
d_04149_9,04149,9,Other and unspecified Escherichia coli [E. coli],Unknown,Diagnosis
d_28860_9,28860,9,"Leukocytosis, unspecified",Unknown,Diagnosis
d_51881_9,51881,9,Acute respiratory failure,Unknown,Diagnosis
d_0389_9,0389,9,Unspecified septicemia,Unknown,Diagnosis
d_53140_9,53140,9,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction",Unknown,Diagnosis
d_J45909_10,J45909,10,"Unspecified asthma, uncomplicated",Unknown,Diagnosis
d_I214_10,I214,10,Non-ST elevation (NSTEMI) myocardial infarction,Unknown,Diagnosis
